Num	Start		Circle		End
1 	00:00:40	0:00:45		0:02:06
2 	0:02:10		0:02:18		0:03:57
3	0:03:57		0:03:20		0:03:45
4	0:03:46		0:04:00		0:04:39
5	0:04:40		0:04:47		0:05:17
6	0:05:18		0:05:20		0:05:58
7	0:05:59		0:06:38		0:07:01
8	0:07:02		0:07:04		0:07:33
9	0:07:33		0:08:06		0:08:45	
10 	0:08:46		0:09:01		0:09:20
11	0:09:21		0:09:23		0:09:55
12	0:09:56		0:10:08		0:10:33
13	0:10:34		0:10:37		0:11:22
14	0:11:22		0:11:51		0:12:08
15	0:12:08		0:12:16		0:12:24
16	0:12:24		0:12:54		0:13:13
17	0:13:14		0:13:54		0:14:55
18	0:14:56		0:15:27		0:15:46
19	0:15:47		0:16:43		0:17:00
20	0:17:01		0:17:01		0:17:35
21	0:17:36		0:17:45		0:18:26
22	0:18:26		0:18:44		0:19:14
23	0:19:15		0:19:20		0:19:51
24	0:19:52		0:20:21		0:20:45
26	0:20:46		0:21:24		0:21:42
27	0:21:43		0:22:20		0:22:24
28	0:22:25		0:22:36		0:22:46
29	0:22:47		0:23:20		0:23:46
30	0:22:47		0:23:58		0:24:18
31	0:24:19		0:24:30		0:24:38
32	0:24:39		0:25:20		0:27:00
33 	0:27:00		
					
	
	
